asset_a,asset_b,n_obs,direction,hedge_ratio,intercept,adf_stat,adf_p,engle_granger_p,adf_q,cointegrated_after_fdr
BTC,XRP,4620,log(BTC) ~ log(XRP),0.8931175473333042,10.956564693840772,-3.252722024236576,0.017128681192432927,0.061511144247673115,0.16639290301220558,False
BTC,UNI,4620,log(BTC) ~ log(UNI),0.35267013209477227,10.62269829844442,-3.219133922146324,0.018903505864336066,0.0667151885898597,0.1705864376218693,False
UNI,XRP,4620,log(UNI) ~ log(XRP),1.563104034334586,0.994384788447334,-3.186900964216007,0.02075553373867241,0.07214734519257007,0.1705864376218693,False
BTC,SUI,4620,log(BTC) ~ log(SUI),0.31216682075336877,11.115034031910637,-3.1702432006380903,0.021773033525086725,0.07525281833662503,0.1705864376218693,False
DOGE,LDO,4620,log(LDO) ~ log(DOGE),0.0002595657534900653,-1.392891326382447,-3.157542545678926,0.02257761674407094,0.07706033854961998,0.1705864376218693,False
BTC,ENA,4620,log(BTC) ~ log(ENA),0.19204807975934557,11.492397791539759,-3.13843405840622,0.023836577586183516,0.07969047130468243,0.17061971324847147,False
BTC,OP,4620,log(BTC) ~ log(OP),0.2219456087290439,11.509070755142488,-3.1067861562154033,0.026055041651087484,0.08587049125172336,0.17516314702399513,False
CRV,WIF,4620,log(CRV) ~ log(WIF),-0.04642573369288877,-1.7367062614519688,-3.0933765716243324,0.027047250643411014,0.08808565504139954,0.17516314702399513,False
SOL,UNI,4620,log(UNI) ~ log(SOL),-0.02380589631841179,1.1732742776932952,-3.035774840606808,0.031685870297461595,0.10111066583094641,0.17916491399024326,False
UNI,WIF,4620,log(UNI) ~ log(WIF),0.011657881860973718,1.0918790022896347,-3.0259425575848735,0.03254169551509888,0.1033744765875293,0.17916491399024326,False
AVAX,UNI,4620,log(UNI) ~ log(AVAX),0.13366594361574902,0.8209784985965052,-3.018045481369936,0.03324320078791551,0.10540605214350285,0.17916491399024326,False
SUI,XRP,4620,log(XRP) ~ log(SUI),0.4237243401863104,0.2046537413869974,-3.0127746143770744,0.03371851180686713,0.10722774911917782,0.17916491399024326,False
ETH,SOL,4620,log(ETH) ~ log(SOL),0.3516260955426276,5.859978014940907,-2.9888330444711793,0.03595049545100601,0.11192856398338741,0.17916491399024326,False
SOL,WLD,4620,log(WLD) ~ log(SOL),-1.2016579207119786,4.326683576999606,-2.94975575253108,0.03986050244984087,0.1226759878547165,0.17916491399024326,False
ADA,CRV,4620,log(CRV) ~ log(ADA),0.7194287077233961,-0.2681996794515218,-2.9417769978571924,0.040701134753677974,0.12444882897392262,0.17916491399024326,False
CRV,SUI,4620,log(CRV) ~ log(SUI),0.5185327899353234,-1.4645630556548825,-2.9348366176252734,0.041444364954753135,0.12555596244051304,0.17916491399024326,False
ARB,UNI,4620,log(UNI) ~ log(ARB),0.221932451354776,1.6468931953786514,-2.9209608910880713,0.04296426346862097,0.12916839205069092,0.17916491399024326,False
AAVE,OP,4620,log(OP) ~ log(AAVE),0.7204090718187004,-5.549717939637212,-2.916572941209498,0.04345445395419056,0.13129119287072316,0.17916491399024326,False
SUI,UNI,4620,log(UNI) ~ log(SUI),0.5272783092702169,1.26473834011299,-2.9112256994641914,0.044058087739922695,0.13297782605717878,0.17916491399024326,False
AAVE,LDO,4620,log(LDO) ~ log(AAVE),0.0542909051183873,-1.639123088005114,-2.9084381611231627,0.04437551648756788,0.13311147029484632,0.17916491399024326,False
BTC,LDO,4620,log(BTC) ~ log(LDO),0.18583279857627844,11.259487291896676,-2.9048124650574754,0.044791228497560814,0.1344279707871765,0.17916491399024326,False
CRV,SOL,4620,log(CRV) ~ log(SOL),0.07847243140046967,-1.9909013132471216,-2.8575501156237917,0.0505117159699915,0.1462188027536172,0.19627409634053844,False
DOGE,WIF,4620,log(WIF) ~ log(DOGE),-0.9408497814268593,-4.21801492048877,-2.8307886922668017,0.054008626866695525,0.15651252481805467,0.20100011085062147,False
ARB,XRP,4620,log(XRP) ~ log(ARB),0.2756430454119307,0.7640963018863237,-2.8257854443268964,0.05468385368730143,0.1568640802071093,0.20100011085062147,False
SOL,XRP,4620,log(XRP) ~ log(SOL),0.13063039274703492,-0.5103093174236508,-2.8013869328940912,0.058075927523428696,0.1648161753910964,0.20540813118006054,False
LDO,OP,4620,log(LDO) ~ log(OP),0.08508879414105763,-1.1986003436295825,-2.7956085245342006,0.05890380232369383,0.16651897093507745,0.20540813118006054,False
AVAX,XRP,4620,log(XRP) ~ log(AVAX),0.20338641420476994,-0.33169008153904944,-2.7675960392402086,0.06305359447706478,0.17528975205222713,0.21438222122202025,False
ARB,WLD,4620,log(ARB) ~ log(WLD),-0.12094767019571862,-2.692729306662166,-2.7426365825885153,0.06694637583579088,0.18438340951429338,0.21615112516830004,False
DOGE,UNI,4620,log(UNI) ~ log(DOGE),0.7284806121526053,2.970966111422136,-2.7316201669280815,0.06872459733117105,0.1869135118781503,0.21615112516830004,False
WIF,XRP,4620,log(XRP) ~ log(WIF),0.051551535203948416,0.14017767214108826,-2.7232384611118645,0.07010260125293268,0.18969350246536132,0.21615112516830004,False
ENA,UNI,4620,log(UNI) ~ log(ENA),0.5267917289492132,2.420547869018293,-2.7180655670045994,0.07096396793660437,0.19036938417790772,0.21615112516830004,False
ADA,XRP,4620,log(XRP) ~ log(ADA),0.46727831146490684,0.9498171323762843,-2.714749260944647,0.07152059288656987,0.19483898617281542,0.21615112516830004,False
AAVE,ENA,4620,log(ENA) ~ log(AAVE),0.7671813480051597,-6.03116041757832,-2.644517340477778,0.08414098340447962,0.21999016383187608,0.22845852902203068,False
AVAX,CRV,4620,log(CRV) ~ log(AVAX),0.1412705784089714,-1.9193565835401145,-2.639413625963636,0.0851217582103298,0.2191000154433207,0.22845852902203068,False
OP,SOL,4620,log(OP) ~ log(SOL),-0.22787092972592404,-1.315320294049691,-2.6255560836095233,0.08782953374750246,0.22765557101475553,0.22845852902203068,False
CRV,ETH,4620,log(CRV) ~ log(ETH),0.6952442051324379,-6.776007121354354,-2.6246526989825676,0.08800834292990001,0.22748730171470583,0.22845852902203068,False
AAVE,WLD,4620,log(AAVE) ~ log(WLD),0.4972714457656906,4.930860754568489,-2.618889157886806,0.08915576690562166,0.22918041387688737,0.22845852902203068,False
