asset_a,asset_b,dependent,independent,hedge_ratio,adf_p,adf_q,engle_granger_p,phi,phi_p_vs_unit_root_approx,is_mean_reverting,theta_per_bar,half_life_bars,half_life_hours,ou_mu,ou_sigma_eq,current_spread,current_rolling_zscore,current_ou_zscore,half_life_hours_ci_low,half_life_hours_ci_high
ETH,WLD,ETH,WLD,-0.012568612751881689,0.0509116727921752,0.17538977469129555,0.14881092170895183,0.9960577758682172,0.002992358430365938,True,0.003950015180115513,175.4796244959431,3.655825510332148,-0.00047176300048601795,0.008848558380329427,-0.007480906299947243,1.3516422614596655,-0.7921226258779884,,
ETH,WIF,ETH,WIF,0.08362892668946223,0.0514054484170552,0.17538977469129555,0.14999023503489672,0.996054615724602,0.0024189943502082034,True,0.003953187836064617,175.33879221129308,3.652891504401939,-0.0008496207975012977,0.00791073453886987,-0.0059678836221133125,1.3368935485207598,-0.6470022220393218,,
ARB,WLD,ARB,WLD,-0.11528292401056262,0.05214521520144794,0.17538977469129555,0.15173385003956752,0.9962411346241463,0.003392861208744824,True,0.003765947663458084,184.05650914528707,3.8345106071934807,-0.00010291297475393374,0.01397914396338087,0.0021780224357730305,2.50948750340336,0.16316703057798096,,
ENA,ETH,ETH,ENA,0.09797029422002407,0.053086506396335637,0.17538977469129555,0.15404514270255903,0.9965023254511861,0.0046887358042218,True,0.003503805713158434,197.82694512907852,4.121394690189136,0.00029659014361559663,0.008249839427181967,0.0017094662038950048,1.3953922674910464,0.17126103759355563,,
WIF,XRP,XRP,WIF,0.05061063619221258,0.05423177687096405,0.17538977469129555,0.15639989782172253,0.9959113017447169,0.0026232294460746264,True,0.004097079836299685,169.18078442571124,3.524599675535651,-0.0006220201373385235,0.007834379819457863,-0.008651888505159099,1.6956334575909935,-1.024952651373525,,
SUI,XRP,XRP,SUI,0.4243654180065356,0.05575791281058348,0.17538977469129555,0.15993839738236643,0.9963252615135001,0.0048334373993697,True,0.0036815069245528893,188.27811403454754,3.9224607090530736,-0.0002263159969489146,0.0058510110328380245,-0.009700506705569427,1.3229564586283213,-1.619239932286552,,
WIF,WLD,WIF,WLD,-0.5372101698248745,0.05654429264134236,0.17538977469129555,0.16175472875969427,0.9969877358530113,0.005731584278741764,True,0.0030168101460964184,229.7616180643116,4.786700376339825,0.0022354659402861994,0.034362236934128015,-0.043962131092738055,0.8163985360547069,-1.3444292675585843,,
BTC,XRP,XRP,BTC,0.8433353476263807,0.05701571831427589,0.17538977469129555,0.1623565730663042,0.9949271913603617,0.001582901603827569,True,0.005085719013128835,136.2928582508351,2.8394345468923983,0.0007090344552144242,0.004443562038279856,0.012025570710849816,2.5842283566474733,2.546726288087592,,
DOGE,LDO,LDO,DOGE,-0.01789164764459232,0.057555468020351774,0.17538977469129555,0.16398056102234998,0.996700648998517,0.005773714693469323,True,0.0033048058616354497,209.7391524889536,4.3695656768532,-0.0023402154626983394,0.012624091674283052,-0.01670706801596067,-0.5864363535990395,-1.1380503979173022,,
ETH,OP,ETH,OP,0.06563816384079696,0.0578789028621141,0.17538977469129555,0.16483286830604232,0.9964321692053568,0.004338020096748885,True,0.0035742106823597516,193.9301407107648,4.0402112648076,1.3757355610353475e-05,0.008611750265554503,-0.0022994477640834177,1.5291326856215215,-0.2686103345270226,,
DOGE,WLD,DOGE,WLD,0.3966071915845974,0.06036545319544857,0.17538977469129555,0.170196527145204,0.9968571894403755,0.00816228975605382,True,0.0031477595606333657,220.20334374601217,4.5875696613752535,-0.00043551899845214786,0.008135672373980557,-0.0066122162170367815,1.7695561207394248,-0.7592116465184732,,
ADA,WLD,ADA,WLD,0.1702782681293281,0.06041520736970234,0.17538977469129555,0.17031823888586478,0.9962416641402935,0.0036053291313615787,True,0.003765416149562476,184.08248996342297,3.8350518742379784,8.686594091035185e-05,0.00889881559149963,0.010640991195679295,2.1697822092259074,1.186014604555971,,
DOGE,WIF,WIF,DOGE,-0.9880461244274852,0.06278415483971674,0.17538977469129555,0.17557718198305367,0.9972495305508177,0.006824430117139402,True,0.002754258940459432,251.663767112733,5.2429951481819375,0.0034725117347367647,0.035949865768512904,-0.04077739429357208,1.8509807436366892,-1.2308781989129323,,
SOL,WIF,WIF,SOL,1.0236013107289033,0.0631183333521601,0.17538977469129555,0.17806253270881028,0.9978856442994378,0.0033282530471649974,True,0.002116594106323641,327.48233517662385,6.8225486495129966,0.0096010370735481,0.02885399565358826,-0.02217820954408478,0.6648832256339557,-1.1013811396925486,,
ARB,WIF,WIF,ARB,1.571606238074134,0.06488937865348295,0.17538977469129555,0.18091062780419914,0.9977766325855575,0.004256401517353181,True,0.002225842765529561,311.4088700668105,6.487684793058552,0.007896627464832374,0.028615546859178803,-0.023580382008879353,-1.851663147167963,-1.0999967824698436,,
ETH,LDO,ETH,LDO,0.4902214557707143,0.06572867136751222,0.17538977469129555,0.18272928332079957,0.9966289516451977,0.004200293689305745,True,0.003376743140173841,205.27092283491268,4.276477559060681,0.000644640161105282,0.0059869922505813526,0.0012590342954386102,1.8350576470982927,0.10262150151834068,,
AAVE,ENA,AAVE,ENA,0.6935210824403498,0.06577116550923583,0.17538977469129555,0.1819909752423554,0.9968056699775943,0.005958684692537242,True,0.0031994427853563813,216.64621843917007,4.5134628841493765,-0.002555130697806199,0.019905524436319686,-0.012605045454244568,0.3284812308408215,-0.5048806821739025,,
AAVE,ETH,ETH,AAVE,0.07086510332694468,0.06848079572831933,0.1769471687114314,0.18784513715429185,0.9963633654008403,0.003929287232578016,True,0.0036432632302494748,190.25448801087086,3.963635166893143,9.660981002542852e-05,0.008518400861162673,-0.001558536967249502,1.395776137470821,-0.19430252276822532,,
AVAX,XRP,XRP,AVAX,0.20094545252269078,0.06986397537930898,0.1769471687114314,0.19067306767819692,0.9964858856227896,0.005979460186366747,True,0.0035203033806363677,196.89984231831878,4.1020800482983075,-0.0005075885477439059,0.007306905178846242,-0.009999165842753004,1.4930241900674637,-1.2989873363195628,,
ARB,ETH,ETH,ARB,0.4542117122636856,0.0714191773103988,0.1769471687114314,0.19383713468834285,0.9964953689661584,0.007588890570838114,True,0.0035107866394758114,197.43358162700474,4.113199617229266,-0.0008066137445751243,0.005932607756324708,-0.011130891042291147,-1.0028821855733583,-1.7402595488820896,,
AAVE,LDO,LDO,AAVE,0.047040095048007796,0.07259179613836186,0.1769471687114314,0.1964679401949896,0.9969250082456709,0.007501081861792436,True,0.0030797292558184777,225.06757022566015,4.688907713034586,-0.0020373255480236048,0.012513241432124175,-0.012740889527282917,-0.6392791202707367,-0.8553790029001572,,
CRV,SOL,CRV,SOL,0.047647723950314455,0.07286059888117763,0.1769471687114314,0.19694931554708273,0.9964922985886924,0.005626411992269986,True,0.0035138678200732024,197.2604594288653,4.109592904768027,-0.0016203023652578078,0.010451580647881634,-0.015732385918702407,0.8807161672561101,-1.3502343835719137,,
AVAX,SOL,AVAX,SOL,0.7744103286222691,0.07610099167833921,0.1803950697999253,0.2037434980215358,0.9971409572086646,0.010414083095002802,True,0.002863137660977513,242.0935570116093,5.043615771075194,0.00013831400630538623,0.01139281470001259,-0.00601485996090001,1.3169981184888826,-0.5400925170141314,,
ETH,UNI,ETH,UNI,0.17211129727200447,0.07812066605169547,0.1803950697999253,0.2081297820518247,0.9968692225737771,0.007267372813760442,True,0.0031356885629987606,221.05102807055115,4.605229751469816,0.0005853702827635861,0.008165536467002832,0.003056575877882217,1.6349030082484797,0.30263848616742384,,
ADA,OP,ADA,OP,0.3402363214014233,0.07907088509648569,0.1803950697999253,0.20976035211609173,0.9961697857465939,0.007547568148988937,True,0.0038375683084299244,180.62145735290758,3.762947028185575,0.0009052860751737442,0.008310694185228795,0.02175810100472031,2.437859444500886,2.509154405730607,,
DOGE,ETH,ETH,DOGE,0.11291934177908863,0.08051947565720219,0.1803950697999253,0.21287864979240595,0.9966540957541866,0.005769426242670406,True,0.003351514300724226,206.8161190331677,4.308669146524327,-1.7988261671204854e-05,0.008511809822300515,-0.0028995376105100945,1.106699006325365,-0.338535447689324,,
ETH,XRP,ETH,XRP,0.8276971447796042,0.08091249454261357,0.1803950697999253,0.21357344318084898,0.9972546634479602,0.012134110177973723,True,0.0027491118997482605,252.1349460614599,5.252811376280415,-0.0001172219895146007,0.005724844256168144,0.0008575362281639798,-1.0642146420853917,0.17026807613645428,,
ADA,AVAX,ADA,AVAX,0.2768891243902974,0.0845563424520629,0.1815044291932581,0.22104388861569368,0.9971363047122083,0.0054219988058135105,True,0.0028678035081444626,241.69967663106323,5.0354099298138175,-0.0017658604679908596,0.009521019816535616,-0.0020395846332528222,2.190719560075445,-0.02874945862275937,,
CRV,ETH,ETH,CRV,0.47610252733867303,0.08846974900354765,0.1815044291932581,0.22864778891078458,0.9970194820342442,0.008619481732826895,True,0.0029849685550020436,232.21255694583715,4.837761603038274,0.00039094639654325514,0.00723261056385868,0.0005364221458714624,0.6508290637603278,0.020113864564359225,,
SUI,WIF,WIF,SUI,-0.1393321935722556,0.08918762366741412,0.1815044291932581,0.23002596325976948,0.9980006957975089,0.008562643451999197,True,0.002001305479023389,346.3475155717817,7.215573241078785,0.010983237796902738,0.03504639209065171,-0.007832835061785781,1.3626861169463076,-0.5368904396783122,,
UNI,WIF,WIF,UNI,0.034605268045310444,0.0892180719707264,0.1815044291932581,0.23020211440047333,0.9980823522120997,0.008434074570641048,True,0.0019194888284408739,361.11029680905295,7.5231311835219365,0.011901740870373602,0.034283600380805135,-0.006093733702661863,1.354719775308804,-0.5249003714064657,,
AVAX,SUI,SUI,AVAX,0.48616633049720526,0.08937074995553473,0.1815044291932581,0.22960390408585452,0.9971014310179409,0.008849459435745555,True,0.002902777968456882,238.7875297704642,4.974740203551337,-0.0007815980371047584,0.009582846439467992,-0.0007629490742006584,0.7625698456044526,0.0019460776108539345,,
LDO,OP,LDO,OP,0.07625773819126003,0.08950700372366743,0.1815044291932581,0.2298810795208654,0.996999878833557,0.008158821974250552,True,0.003004630551342208,230.6929816214201,4.8061037837795855,-0.0018979509935821487,0.012413816746201733,-0.011070870502851271,-0.5709736800285293,-0.7389282198060293,,
ENA,OP,OP,ENA,0.6939602966737668,0.09312944437152082,0.1815044291932581,0.23738123647317322,0.9973410127169625,0.011357936002258429,True,0.0026625286687825974,260.3341660455723,5.423628459282757,-0.0021160413558576475,0.014633006105242421,-0.0069905730291917045,-1.180144821043761,-0.3331189530213964,,
ENA,WIF,WIF,ENA,-0.008928174404053954,0.09333183634195336,0.1815044291932581,0.23822401541815985,0.9980757167923907,0.008948056628568679,True,0.0019261370190947892,359.86390048497066,7.497164593436889,0.011391882084182786,0.0346105074915282,-0.008804419131421382,1.3226679476501189,-0.583530918191469,,
BTC,WIF,WIF,BTC,0.4377826658695373,0.09342139737888283,0.1815044291932581,0.23861366847279508,0.9981761379785942,0.008947331972847694,True,0.001825527282855183,379.69697142835406,7.910353571424043,0.01357808477324592,0.03357963380110451,0.0029016990965125,1.5342104592618715,-0.3179422902575623,,
AVAX,CRV,CRV,AVAX,0.13027194518431665,0.0973054066537925,0.1863878211959969,0.24497028020982997,0.9967238822674528,0.007450035166795654,True,0.003281495955920457,211.2290217238796,4.400604619247492,-0.001780189352948565,0.010194148880500999,-0.015683948423154792,0.7356506282253247,-1.363896018509288,,
AVAX,WIF,WIF,AVAX,0.857788436550206,0.10307273276576245,0.19294511200771733,0.2578171764146935,0.9981199984556689,0.007476520460012015,True,0.0018817709652582794,368.34832365734184,7.673923409527955,0.010963553932105066,0.03106326020435654,-0.01205692738248687,-0.4896738069138281,-0.7410838773247431,,
LDO,SOL,LDO,SOL,0.5659075886746517,0.1047695209623678,0.19294511200771733,0.258599146460636,0.9955695645545429,0.0035541983700262403,True,0.004440278909222033,156.1044237830072,3.252175495479317,-0.0019206972209700978,0.007399721049085212,-0.023928841868353423,-1.344118281819806,-2.9741857161094027,,
LDO,XRP,XRP,LDO,0.248873292844569,0.10517973976079481,0.19294511200771733,0.26009078703413613,0.9967464767506665,0.006073739208425799,True,0.003258827464149323,212.6983364984261,4.43121534371721,0.00013563758799853832,0.00731881011581638,-0.005048550129078226,2.087508589698455,-0.7083375077423348,,
ADA,CRV,ADA,CRV,0.9463887544381824,0.10710624387107637,0.19294511200771733,0.26339038850432483,0.9939236390929698,0.000255261200315271,True,0.006094897114570133,113.72582137653234,2.3692879453444236,0.00012016509809283422,0.006392136304145852,0.013522203757184492,1.301109845998236,2.096644693011205,,
ADA,SOL,ADA,SOL,0.1491560785538437,0.10988444794548863,0.19294511200771733,0.2689289117542183,0.9971786903328572,0.0071435928656669034,True,0.0028252970628129628,245.33603552110168,5.111167406689618,-0.0017117607481368614,0.01058019931509858,-0.002803735292703724,2.333067469500451,-0.10320926024602858,,
OP,WIF,WIF,OP,-0.636813781345944,0.11045096860361919,0.19294511200771733,0.2698264187265349,0.9977045725559857,0.014299961324284016,True,0.0022980659760689377,301.6219672446655,6.283790984263864,0.0030997247748512204,0.03729028261337994,-0.05016033952735799,0.3895698230773075,-1.4282558503082847,,
SOL,XRP,XRP,SOL,0.12642167306035848,0.1106596965926614,0.19294511200771733,0.2699667097996582,0.9966523482076753,0.0072849482606558436,True,0.003353267715525619,206.70797543264322,4.306416154846734,-0.0004934083048093434,0.007880451865529313,-0.010804709403796846,1.7646431002346725,-1.3084657168063185,,
DOGE,SOL,SOL,DOGE,-0.2510397347429294,0.11307421451878108,0.1946594072728383,0.27460244372352677,0.9975200484654031,0.016651327357597,True,0.0024830317079113833,279.15357598996997,5.815699499791041,-0.0005618942207080912,0.018236869148483065,0.005491897661373812,1.2644476267200921,0.3319534637657613,,
