asset_a,asset_b,n_obs,pearson_r,pearson_p,pearson_q,significant_after_fdr,direction,hedge_ratio,adf_p,adf_q,is_mean_reverting,half_life_hours,half_life_hours_ci_low,half_life_hours_ci_high,current_rolling_zscore,current_ou_zscore
AAVE,OP,4620,0.3834255204940678,1.0690330529491628e-161,1.1724878645248884e-161,True,positive,0.9260081084066728,0.037791942738352735,0.17764022043558383,True,3.3638176162589932,,,-1.2339563084714047,-1.3699752323920056
ARB,UNI,4620,0.46826884022541776,1.499802004457419e-250,1.9997360059432252e-250,True,positive,0.22467090037976292,0.03899896736454467,0.17764022043558383,True,2.347987920648509,,,3.440764879348375,3.7017413888646873
CRV,SUI,4620,0.7429415826253176,0.0,0.0,True,positive,0.5207844027907225,0.039572952346565514,0.17764022043558383,True,3.661760491555764,,,2.969568920405204,3.2561938857797044
SOL,XRP,4620,0.8543255122667854,0.0,0.0,True,positive,0.131436463258699,0.04049152083458161,0.17764022043558383,True,2.8082397295045145,,,2.4841602467904704,1.584706157841021
BTC,LDO,4620,0.8218108147104418,0.0,0.0,True,positive,0.18687359060257688,0.042822436396606156,0.18199535468557618,True,6.0403835165774735,,,2.8344896071834618,1.895717278592676
AVAX,UNI,4620,0.44519426257489103,8.163220600377415e-224,9.912482157601148e-224,True,positive,0.13577489227471545,0.045887987960830684,0.1848752036364048,True,2.323729986096586,,,3.4212464113450713,3.763388209235906
ETH,SOL,4620,0.8765980175714605,0.0,0.0,True,positive,0.3536470842685832,0.050009102083130745,0.1848752036364048,True,3.1045584278156446,,,3.7393159836740817,4.002189733376043
SUI,UNI,4620,0.5501023149532351,0.0,0.0,True,positive,0.5312301882046903,0.05205314216520767,0.1848752036364048,True,2.148288839262961,,,3.42798272194969,3.00625221616502
CRV,SOL,4620,0.7298794243940605,0.0,0.0,True,positive,0.08175983078186684,0.052365127272545144,0.1848752036364048,True,5.010194799351815,,,2.8892878308196073,3.4347641078529816
DOGE,UNI,4620,0.6550535856440727,0.0,0.0,True,positive,0.7285919746795749,0.053457651211450706,0.1848752036364048,True,1.8703731289087313,,,3.474117254154561,5.082378568739733
WIF,XRP,4620,0.4903967445550347,3.4044928658604377e-278,4.9256492527342503e-278,True,positive,0.05156902095556363,0.05390755315810265,0.1848752036364048,True,2.6605329950440177,,,2.6342121906806746,3.0086065472262273
DOGE,WIF,4620,0.5753223540053745,0.0,0.0,True,positive,-0.9408401868290528,0.0543070914243437,0.1848752036364048,True,4.10307318706001,,,2.4591503373763595,0.05114724508831418
WLD,XRP,4620,0.5586576755027277,0.0,0.0,True,positive,0.0722263977912098,0.05437505989306024,0.1848752036364048,True,3.039804963782558,,,2.463977503056397,3.606638237314126
LDO,SOL,4620,0.8020610620983883,0.0,0.0,True,positive,0.5282447313647898,0.056487196617052905,0.18737216438827306,True,1.9879461392746702,,,1.2003497510161072,-1.9749400898009783
AVAX,CRV,4620,0.521820453743685,4.02e-321,6.433e-321,True,positive,0.1427217877309718,0.059154349893303426,0.19154741870212538,True,5.37078408574721,,,2.890923281348642,3.4877057267104155
ADA,CRV,4620,0.6264560374095385,0.0,0.0,True,positive,0.7183145775303356,0.06435445820930687,0.20004087516097727,True,1.1389929657192173,,,0.48067909881433735,-1.3200146350406288
DOGE,LDO,4620,0.8418898132662382,0.0,0.0,True,positive,0.0003122261407879088,0.06545830689231694,0.20004087516097727,True,2.882247983164391,,,3.35978594258522,2.8845053945070775
ARB,WLD,4620,0.491139508242349,3.701404935644063e-279,5.471642078778179e-279,True,positive,-0.12118825457793411,0.06738126099113856,0.20004087516097727,True,3.4399775155947228,,,2.1857418001073707,1.5393200306437365
UNI,WLD,4620,0.5262893095053245,0.0,0.0,True,positive,0.2600901287420378,0.0688465246491727,0.20004087516097727,True,3.0812300110484454,,,3.220824127333793,4.751372001874341
ARB,CRV,4620,0.5164314153123777,1.94942179967e-313,3.04737200867e-313,True,positive,0.19567097487023594,0.07202340660027207,0.20004087516097727,True,5.418068598840627,,,2.9216938125345124,3.463286176700345
LDO,XRP,4620,0.8111899391868752,0.0,0.0,True,positive,0.26556394005206024,0.07246547843846747,0.20004087516097727,True,3.624573545408617,,,2.2166389633305,1.9554002965896597
OP,XRP,4620,0.645178070224906,0.0,0.0,True,positive,0.1603984652291038,0.07282107347690991,0.20004087516097727,True,2.7331881926850943,,,2.592758191261886,3.762038231414666
WIF,WLD,4620,0.43813410062200386,4.8787901165420204e-216,5.871818193360308e-216,True,positive,-0.4917529261218679,0.07375244313265238,0.20004087516097727,True,3.871888759535045,,,0.571292963062377,-1.2651165096031016
OP,WLD,4620,0.3887545688453107,1.4915889957444704e-166,1.649236613180878e-166,True,positive,0.46918194898542614,0.07501532818536648,0.20004087516097727,True,4.782300291929808,,,1.6048674323848007,0.7479995534120176
AAVE,ENA,4620,0.22761287170423694,2.315889335742297e-55,2.3504548482160627e-55,True,positive,0.766730363034418,0.07750218609137365,0.20117525378491707,True,3.4620838704080916,,,2.6474434657305297,1.4353346942379719
LDO,SUI,4620,0.7192734119791941,0.0,0.0,True,positive,0.49510714530569533,0.07839917978382797,0.20117525378491707,True,3.021547562161494,,,3.194734241044013,1.1842521698886082
AAVE,WLD,4620,0.4623529687324392,1.6907579238537149e-243,2.189934072801002e-243,True,positive,0.4973635017690984,0.081956103288016,0.20517350565259418,True,4.800632424827891,,,1.457358367775109,-0.3506529742197148
AAVE,DOGE,4620,0.5292264320894566,0.0,0.0,True,positive,0.5489977277833008,0.08297457949185794,0.20517350565259418,True,4.21516309283012,,,2.270074272696177,2.7378030559659567
CRV,WLD,4620,0.30906648420800475,7.973527026049196e-103,8.341535965713005e-103,True,positive,0.14503656204185056,0.0899104339094064,0.20584558869183756,True,67.34279973822736,,,2.6291806635882105,0.004276875564058145
AVAX,WIF,4620,0.4289699621925963,3.241223061339601e-206,3.800054623639532e-206,True,positive,0.8391222542526252,0.09002577777632487,0.20584558869183756,True,6.773439258464971,,,-0.762454483731151,-1.1093828248199569
ENA,OP,4620,0.4969243868218881,9.567701795147053e-287,1.4457860490444437e-286,True,positive,0.9737709369899255,0.0903149066374842,0.20584558869183756,True,3.6151475352500686,,,2.844115334319197,1.129931413693558
SUI,WIF,4620,0.5161677296455348,4.59624617423e-313,7.10328954198e-313,True,positive,-0.1336774963837847,0.09049917143371805,0.20584558869183756,True,6.2678579893505,,,2.0349661171102746,0.04923556442889032
ENA,WIF,4620,0.27794781672585867,9.96023362382453e-83,1.0184900547670197e-82,True,positive,0.006446398839886685,0.09081423030522245,0.20584558869183756,True,6.52519952526244,,,1.6401600995033714,-0.15958345543300428
DOGE,XRP,4620,0.8713103562956345,0.0,0.0,True,positive,0.27631180569707114,0.0967937592456517,0.21580247962964969,True,2.748246745347904,,,2.6289181869190825,3.551528721401877
ARB,WIF,4620,0.450733059908461,4.79697496338675e-230,6.0406351390796115e-230,True,positive,1.5130818085833515,0.10172679214978325,0.21832134806300169,True,5.673629528026883,,,-1.001020342775304,-1.674474723293556
CRV,ETH,4620,0.7317630766787091,0.0,0.0,True,positive,0.6976559790948812,0.10227402200641555,0.21832134806300169,True,3.204307253898848,,,1.8011788840551364,1.4967206872033014
OP,WIF,4620,0.434460610976248,4.5932134003699546e-212,5.479623003950121e-212,True,positive,-0.571226841389909,0.10273945791200079,0.21832134806300169,True,5.154052674036799,,,2.2186018980176985,-0.5224024711997406
ARB,SOL,4620,0.687029117047145,0.0,0.0,True,positive,0.6693163455999518,0.11097443951867453,0.22658874914295865,True,3.1881549094169883,,,-3.1194927047325534,-3.9722569776273025
DOGE,SOL,4620,0.839972419417387,0.0,0.0,True,positive,-0.24854358393330464,0.11317449710232486,0.22658874914295865,True,5.835970248986761,,,2.7654900579636563,1.5335070174372953
AAVE,XRP,4620,0.5310218278893479,0.0,0.0,True,positive,0.15459814614950235,0.11803818056500393,0.22658874914295865,True,2.78715898744426,,,2.591515003249096,4.110978080393162
ENA,XRP,4620,0.373148842091559,1.37998970311425e-152,1.4895126954249047e-152,True,positive,0.1542705901835788,0.11932059481699353,0.22658874914295865,True,1.956783403652187,,,2.327514093147985,3.7988443361294815
AAVE,WIF,4620,0.31621782950440624,8.35251970350001e-108,8.805757206790708e-108,True,positive,-0.40942932634593177,0.11937065257649082,0.22658874914295865,True,5.540234939499274,,,1.9281425676729886,-0.6444543784510048
AVAX,ETH,4620,0.6244682210384122,0.0,0.0,True,positive,0.33594907372596655,0.12026229041600495,0.22658874914295865,True,6.481381602229463,,,3.5273301073391634,3.624991045129793
LDO,UNI,4620,0.6768765369998929,0.0,0.0,True,positive,0.4969481315543644,0.12105054868813542,0.22658874914295865,True,2.806450745710391,,,3.3407852151929145,3.2403566113737816
AAVE,LDO,4620,0.5246776507204287,0.0,0.0,True,positive,0.05368988124932218,0.12134314836056537,0.22658874914295865,True,3.2317207652613154,,,3.360732102184371,3.0045326831301438
ADA,WIF,4620,0.40165765543233267,1.0928575300292625e-178,1.2385718673664976e-178,True,positive,-0.9339374910990503,0.12315513168262066,0.22658874914295865,True,5.524293641633214,,,3.0484755559619274,1.9618659093399646
BTC,CRV,4620,0.7599893902069211,0.0,0.0,True,positive,0.6481238700145754,0.12329093703366867,0.22658874914295865,True,2.5488915019082676,,,0.36833608614642427,-2.5809798235525734
