asset_a,asset_b,n_obs,pearson_r,pearson_p,spearman_r,spearman_p,pearson_q,significant_after_fdr,pearson_r_ci_low,pearson_r_ci_high,direction
CRV,UNI,4620,0.5475425196800051,0.0,0.5959369649936949,0.0,0.0,True,0.5270271166440001,0.5674201411646896,positive
AAVE,XRP,4620,0.5310218278893479,0.0,0.43369449985948183,3.052703773662808e-211,0.0,True,0.5099945267629441,0.5514148597200882,positive
AAVE,DOGE,4620,0.5292264320894566,0.0,0.44661343211307697,2.120102779819406e-225,0.0,True,0.5081444929635525,0.5496745715451933,positive
UNI,WLD,4620,0.5262893095053245,0.0,0.5422996780783564,0.0,0.0,True,0.5051184064181605,0.5468272178663391,positive
AAVE,LDO,4620,0.5246776507204287,0.0,0.45286519479772863,1.7842584955985825e-232,0.0,True,0.5034581524565241,0.5452646152126435,positive
AAVE,ETH,4620,0.5222050242306991,1.126e-321,0.44262632652853273,5.776595319963578e-221,1.823e-321,True,0.5009112752446359,0.5428669730678081,positive
AVAX,CRV,4620,0.521820453743685,4.02e-321,0.5821564325525588,0.0,6.433e-321,True,0.5005151895918998,0.5424940347142058,positive
ADA,OP,4620,0.5171268944997758,2.0223487146e-314,0.5630306424705495,0.0,3.198132851e-314,True,0.49568181005787754,0.5379417851922442,positive
ARB,CRV,4620,0.5164314153123777,1.94942179967e-313,0.6634429149590344,0.0,3.04737200867e-313,True,0.4949657256515953,0.5372671416181626,positive
SUI,WIF,4620,0.5161677296455348,4.59624617423e-313,0.5143751238959661,1.53483144267633e-310,7.10328954198e-313,True,0.4946942352949666,0.5370113486452185,positive
SOL,WIF,4620,0.5005491905639576,1.4172700472413997e-291,0.49521004977870736,1.7563641729404754e-284,2.165716027245285e-291,True,0.478620884274327,0.5218534665652284,positive
ENA,OP,4620,0.4969243868218881,9.567701795147053e-287,0.5026098633856786,2.3982864463244837e-294,1.4457860490444437e-286,True,0.4748926263629778,0.5183336491078433,positive
AVAX,OP,4620,0.4925496110135712,5.398688017657372e-281,0.4959747748086723,1.7233747765524302e-285,8.068368905509919e-281,True,0.4703940446559526,0.5140846150199794,positive
ARB,WLD,4620,0.491139508242349,3.701404935644063e-279,0.5919020520655491,0.0,5.471642078778179e-279,True,0.4689442814210911,0.512714816761257,positive
BTC,WIF,4620,0.49059543143217144,1.8814940791082545e-278,0.4468990670245587,1.0146856308487245e-225,2.7514322017066946e-278,True,0.46838493391479585,0.512186261754788,positive
WIF,XRP,4620,0.4903967445550347,3.4044928658604377e-278,0.4796129976732538,1.8125336868784038e-264,4.9256492527342503e-278,True,0.46818067489724613,0.5119932390792136,positive
CRV,WIF,4620,0.48830684774422944,1.7014193305936637e-275,0.47045345182793263,3.439645567722524e-253,2.4357160943235607e-275,True,0.4660323110951082,0.5099627892947632,positive
CRV,ENA,4620,0.48765499494190945,1.171495931954052e-274,0.5415360365888102,0.0,1.6596192369349068e-274,True,0.4653622757820598,0.5093294290404744,positive
AAVE,BTC,4620,0.48464311600604876,8.258085000418084e-271,0.4069689860209751,7.662211375925366e-184,1.1578345979967623e-270,True,0.4622667164671523,0.5064026898082542,positive
AAVE,SOL,4620,0.48374107426301766,1.1531717875852394e-269,0.44217573536070065,1.816337358090805e-220,1.6003200317509444e-269,True,0.46133971901303933,0.5055260493841705,positive
AAVE,UNI,4620,0.4805495741513203,1.217814833714676e-265,0.47103637206212534,6.7446376900606875e-254,1.6729577513656156e-265,True,0.45806031608459347,0.5024240601641891,positive
ETH,WIF,4620,0.47826465704634813,8.71293393592585e-263,0.48312381633495455,6.973298400249908e-269,1.1849590152859155e-262,True,0.4557128419517949,0.5002028813847229,positive
BTC,WLD,4620,0.47818726627719865,1.0876032658079468e-262,0.5466660504605012,0.0,1.4644954866324828e-262,True,0.4556333378509972,0.500127644394939,positive
ARB,UNI,4620,0.46826884022541776,1.499802004457419e-250,0.6594995649462168,0.0,1.9997360059432252e-250,True,0.44544704376836225,0.4904825050360108,positive
AAVE,ARB,4620,0.46744537045125334,1.46556099190987e-249,0.42618789291262177,2.7103493111221706e-203,1.9351096592207993e-249,True,0.4446016000032322,0.4896814799290782,positive
AVAX,WLD,4620,0.46565607752997384,2.0311450058573932e-247,0.5333555681461608,0.0,2.6561126999673605e-247,True,0.4427647007455825,0.48794082695593793,positive
AAVE,WLD,4620,0.4623529687324392,1.6907579238537149e-243,0.36734441349932867,1.3852852844999972e-147,2.189934072801002e-243,True,0.4393742133725769,0.484727043852842,positive
SOL,WLD,4620,0.455096447728682,4.902243477571679e-235,0.542107240010845,0.0,6.2896708768844186e-235,True,0.4319280307301766,0.4776646382859048,positive
AAVE,ADA,4620,0.45265723482070785,3.0845054800111977e-232,0.428826878354741,4.588564116754925e-206,3.920492946556289e-232,True,0.42942577387461656,0.47529002030546436,positive
ARB,WIF,4620,0.450733059908461,4.79697496338675e-230,0.5419849845880654,0.0,6.0406351390796115e-230,True,0.4274521183377942,0.47341656847368746,positive
ARB,ENA,4620,0.45048884893009483,9.08102799835511e-230,0.6305841879144896,0.0,1.13304569520761e-229,True,0.42720164328408633,0.47317878045178224,positive
AAVE,SUI,4620,0.44703299412763375,7.180820733345233e-226,0.4188412600302141,1.0447131624449328e-195,8.878105633954105e-226,True,0.4236575280344707,0.46981346310411487,positive
AAVE,AVAX,4620,0.44594113924413215,1.1978057901903879e-224,0.39848268411037296,1.188374316402371e-175,1.4675818690620969e-224,True,0.42253793659329647,0.46875007527552937,positive
AVAX,UNI,4620,0.44519426257489103,8.163220600377415e-224,0.5991979698528892,0.0,9.912482157601148e-224,True,0.4217721280369771,0.46802263324104326,positive
WIF,WLD,4620,0.43813410062200386,4.8787901165420204e-216,0.45207523985660997,1.4243296957165735e-231,5.871818193360308e-216,True,0.4145346551583753,0.4611446564639852,positive
OP,WIF,4620,0.434460610976248,4.5932134003699546e-212,0.4107116578939973,1.5690130726914878e-187,5.479623003950121e-212,True,0.4107700888231845,0.45756486603135704,positive
ADA,ENA,4620,0.4337088980910994,2.9460828014611253e-211,0.5996490226255753,0.0,3.4840631391192437e-211,True,0.4099998382975303,0.4568322346632511,positive
AVAX,WIF,4620,0.4289699621925963,3.241223061339601e-206,0.4603609311151143,3.7288227211643335e-241,3.800054623639532e-206,True,0.4051448161764067,0.45221286979999537,positive
